STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840101 00:15,-9999, , , ,0.00,g, ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840101 15:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840101 16:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840101 20:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840102 02:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840102 03:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840109 12:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840109 13:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840109 13:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840109 14:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840109 14:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840109 15:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840109 15:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840109 16:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840109 16:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840109 17:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840109 17:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840109 18:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840109 18:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840109 19:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840109 19:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840109 20:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840109 20:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840109 21:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840109 21:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840113 17:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840113 19:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840113 20:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840114 12:45,-9999, , , ,999.99,a, ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840124 17:00,-9999, , , ,0.05,A, ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840128 19:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840128 21:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840128 23:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840129 01:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840129 02:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840129 04:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840129 05:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840129 06:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840129 08:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840130 07:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840130 07:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840130 08:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840130 09:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840130 09:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840130 10:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840130 10:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840130 11:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840130 11:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840130 12:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840130 12:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840130 13:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840130 14:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840201 00:15,-9999, , , ,999.99,[, ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840301 00:15,-9999, , , ,999.99,[, ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840302 08:00,-9999, , , ,999.99,], ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840305 01:15,-9999, , , ,999.99,a, ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840305 02:00,-9999, , , ,0.01,A, ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840305 02:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840305 03:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840305 04:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840305 04:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840312 17:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840312 18:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840312 18:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840312 19:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840312 19:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840312 20:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840312 20:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840312 21:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840312 21:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840312 22:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840312 22:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840312 23:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840312 23:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840313 00:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840313 01:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840313 02:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840313 03:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840313 03:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840313 04:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840313 05:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840313 06:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840313 06:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840315 12:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840315 14:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840315 16:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840315 18:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840315 19:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840315 20:15,-9999, , , ,0.03, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840315 20:30,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840315 20:45,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840315 21:00,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840315 21:15,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840315 21:30,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840315 21:45,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840315 22:00,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840315 22:15,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840315 22:30,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840315 22:45,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840315 23:00,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840315 23:15,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840315 23:30,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840315 23:45,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840316 00:15,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840316 00:30,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840316 00:45,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840316 01:00,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840316 01:15,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840316 01:30,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840316 01:45,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840316 02:00,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840316 02:15,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840316 02:30,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840316 02:45,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840316 03:00,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840316 03:15,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840316 03:30,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840316 03:45,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840316 04:00,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840316 04:15,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840316 04:30,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840316 04:45,-9999, , , ,0.04, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840318 02:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840318 03:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840318 04:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840318 05:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840318 05:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840318 06:30,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840318 07:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840318 08:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840318 09:00,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840318 09:45,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 06:00,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 06:15,-9999, , , ,0.08, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 06:30,-9999, , , ,0.08, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 06:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 07:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 07:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 08:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 08:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 09:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 09:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 10:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 10:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 11:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 11:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 12:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 12:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 13:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 13:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 14:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 14:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 15:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 15:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 16:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 16:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 17:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 17:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 18:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 18:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 19:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 19:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 20:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 20:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 21:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 21:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 22:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 22:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840320 23:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840320 23:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 00:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840321 00:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 01:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840321 01:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 02:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 02:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 03:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 03:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 04:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 04:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 05:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 05:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 06:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840321 06:45,-9999, , , ,0.12, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 07:00,-9999, , , ,0.10, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 07:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 07:30,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840321 07:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840321 10:30,-9999, , , ,999.99,a, ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840322 16:00,-9999, , , ,0.19,A, ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840401 00:15,-9999, , , ,0.00,g, ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840403 18:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840403 19:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840403 19:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840403 20:15,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840403 20:45,-9999, , , ,0.02, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840403 21:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,19840403 22:15,-9999, , , ,0.01, , ,HI
COOP:209218,YPSILANTI E MICH U MI US,237.4,42.25,-83.61667,19840403 23:30,-9999, , , ,0.01, , ,HI
