DD MM YY London Bristol Liverpool Manchester Newcastle Birmingham Sheffield
10  1 48    *   3  40  22  58  78  9
17  1 48  240   4  51  19  52  84 11
24  1 48  284   3  54  23  34  65 11
31  1 48  340   5  54  31  25 106  4
 7  2 48  511   1  89  66  27 142  7
14  2 48  649   3  73  60  47 143  3
21  2 48  766  13 169  87  46 191  6
28  2 48  932   5 212  61  66 208  9
 6  3 48 1303   4 283  79  57 290  7
13  3 48 1257  15 285  56  82 310 10
20  3 48 1716   9 279  85  92 425  5
27  3 48 1425   3 424  63  94 481 10
 3  4 48 1719   6 370  99  93 477 16
10  4 48 1809   6 459 141 110 491  5
17  4 48 1360   8 401 154  90 422 16
24  4 48 1147  10 395 144  82 508  8
 1  5 48 1101  10 411 182  98 457 17
 8  5 48  936   7 425 136 141 488 18
15  5 48 1041  19 438 243 107 752 13
22  5 48  994  29 356 209 130 661 46
29  5 48 1134  31 376 318 138 729 36
 5  6 48  818  36 308 317 155 506 40
12  6 48 1083  46 255 487 141 600 32
19  6 48  755  55 186 494 180 432 51
26  6 48  880  62 160 511 167 466 32
 3  7 48  680  54 101 475 133 336 52
10  7 48  585 112  83 492 118 331 46
17  7 48  602  89  90 431 143 285 69
24  7 48  552 140  37 462 127 267 64
31  7 48  457 232  56 361 102 220 126
 7  8 48  430 151  40 346  99 109 107
14  8 48  287 159  42 259 112  89 126
21  8 48  189 117  46 184  82  70  86
28  8 48  149  62  37 128  48  51 126
 4  9 48  120  80  20 101  48  34  78
11  9 48   88  61  26 126  24  30  65
18  9 48   83  40  34 121  39  31  75
25  9 48   91  66  36 107  18  31  72
 2 10 48   94  53  34 152  18  33 151
 9 10 48   79 122  29 154  25  20 188
16 10 48   78  95  39 161  17  33 223
23 10 48   86 142  35 141  27  21 270
30 10 48  119 186  18 181  15  38 315
 6 11 48  123 256  34 140  20  19 411
13 11 48  108 306  46 190   8  30 439
20 11 48  135 323  57 138   8  32 504
27 11 48  127 409  53 266   6  28 573
 4 12 48  157 405  62 229  14  32 610
11 12 48  176 398  90 363   4  29 787
18 12 48  180 419  59 270  10  32 668
25 12 48  110 311  43 285   9  47 755
 1  1 49  294 332  64 339  15  52 573
 8  1 49  318 441  87 402   8  55 679
15  1 49  320 442  62 380  62  76 493
22  1 49  357 243  64 344  18  65 345
29  1 49  487 225  42 436  12 121 256
 5  2 49  496 296  40 372  46 171 239
12  2 49  809 235  73 544  55 282 208
19  2 49  777 246 110 426  74 312 184
26  2 49  831 203 118 444  84 398 133
 5  3 49 1081 183 110 335  61 441 167
12  3 49 1034 156 105 322  73 489  92
19  3 49 1231 109  97 286  79 405 102
26  3 49 1274  80 126 249 103 389  78
 2  4 49 1487 112 127 213 136 389  54
 9  4 49 1753  54 137 182 155 481  30
16  4 49 1635  40 136 116 121 489  63
23  4 49 1699  36 146  97 191 528  45
30  4 49 1541  45 113 114 190 482  26
 7  5 49 1170  28 104  86 147 471  46
14  5 49 1108  38 111  70 153 433  30
21  5 49 1105  34 110  58 125 449  34
28  5 49  953  45 126  54 180 470  34
 4  6 49 1083  15 157  74 111 513  30
11  6 49  801  31 156  59 177 550  26
18  6 49  908  33 169  81 208 520  62
25  6 49  613  28 194  54 130 327  56
 2  7 49  714  22 243 107 114 381  48
 9  7 49  523  28 240  47 136 275  60
16  7 49  490  38 261  91  88 260  40
23  7 49  379  45 201  44  56 245  39
30  7 49  303  44 168  52  57 193  30
 6  8 49  273  22 119  52  48 225  17
13  8 49  223  29  90  46  44 133  18
20  8 49  158   8  78  16  12  92  24
27  8 49  120   9  70  23  20  47  14
 3  9 49   92  10  66  14  30  32   9
10  9 49   66   5  60  19  10  27   1
17  9 49   42   3  52   6  15  22  11
24  9 49   50   3  57  13  12  17   2
 1 10 49   40   4  68   8  22  28   7
 8 10 49   28   5  63   8   8  23   8
15 10 49   44   2  71   7  11  24   8
22 10 49   40   6  63   6   4  46  12
29 10 49   63   3  78   5   3  18   8
 5 11 49   33   1  90   5   7  39   9
12 11 49   48   0  86   4   4  29   8
19 11 49   23   1  87   3   2  42  10
26 11 49   28   0  78   6   5  28   4
 3 12 49   31   1  77   5   5  35  17
10 12 49   26   2 145  17  16  67  21
17 12 49   34   3 153  20  22  38  24
24 12 49   32   3 118  11  16  99  25
31 12 49   47   3 249  10  20  68  20
 7  1 50   43   0 246  15  31 100  32
14  1 50   54   1 304   7  26 100  20
21  1 50   36   7 272   8  12  90  22
28  1 50   24   5 320   6  22  70  11
