"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","jupyter-brooksch",,,,"User:","jovyan"
"Cmdline:","dstat -T --cpu --output datasets/si330_dstat.csv",,,,"Date:","12 Oct 2020 20:54:56 UTC"
"epoch","total cpu usage",,,,
"epoch","usr","sys","idl","wai","stl"
1602536096.762,0.497,0.106,99.347,0.049,0.001
1602536097.763,0.438,0.312,99.250,0,0
1602536098.763,0.125,0.125,99.750,0,0
1602536099.763,0.125,0.063,99.812,0,0
1602536100.763,0.125,0.063,99.812,0,0
1602536101.763,0.125,0.125,99.750,0,0
1602536102.763,0.125,0.063,99.812,0,0
1602536103.763,0.500,0,99.500,0,0
1602536104.763,0.063,0.063,99.875,0,0
1602536105.763,0.250,0.062,99.688,0,0
1602536106.763,0.188,0.125,99.687,0,0
1602536107.763,0.188,0.376,99.436,0,0
1602536108.763,0.125,0.062,99.812,0,0
1602536109.763,0.125,0.063,99.812,0,0
1602536110.763,0.125,0.063,99.812,0,0
1602536111.763,0.749,0.125,99.126,0,0
1602536112.763,0.125,0,99.875,0,0
1602536113.763,0.250,0.125,99.625,0,0
1602536114.763,0.125,0.125,99.750,0,0
1602536115.763,0.125,0.063,99.750,0.063,0
1602536116.763,0.313,0,99.687,0,0
1602536117.763,0.375,0.313,99.312,0,0
1602536118.763,0.125,0.125,99.750,0,0
1602536119.763,0.125,0.063,99.812,0,0
1602536120.763,0.063,0.063,99.875,0,0
1602536121.763,0.250,0.125,99.562,0,0.063
1602536122.763,0.188,0.125,99.687,0,0
1602536123.763,0.125,0.125,99.750,0,0
1602536124.763,0.063,0.063,99.875,0,0
1602536125.763,0.188,0.063,99.750,0,0
1602536126.763,0.250,0.063,99.687,0,0
1602536127.763,0.564,0.439,98.997,0,0
1602536128.763,0.125,0,99.875,0,0
1602536129.763,0.250,0.125,99.562,0.063,0
1602536130.763,0.188,0.188,99.625,0,0
1602536131.763,0.250,0.125,99.625,0,0
1602536132.763,0.063,0.063,99.875,0,0
1602536133.763,0.125,0.063,99.812,0,0
1602536134.763,0.125,0,99.875,0,0
1602536135.763,0.125,0.125,99.750,0,0
1602536136.763,0.251,0,99.749,0,0
1602536137.763,0.438,0.375,99.186,0,0
1602536138.763,0.063,0.063,99.875,0,0
1602536139.763,0.125,0.063,99.812,0,0
1602536140.763,0.125,0.125,99.750,0,0
1602536141.763,0.188,0.125,99.687,0,0
1602536142.763,0.125,0,99.875,0,0
1602536143.763,0.063,0.063,99.875,0,0
1602536144.763,0.125,0,99.875,0,0
1602536145.763,0.564,0.125,98.873,0.438,0
1602536146.763,0.375,0.062,99.562,0,0
1602536147.763,0.439,0.251,99.311,0,0
1602536148.763,0.188,0.063,99.750,0,0
1602536149.763,0.063,0,99.937,0,0
1602536150.763,0.188,0.125,99.688,0,0
1602536151.763,0.188,0.063,99.750,0,0
1602536152.763,0.063,0.063,99.875,0,0
1602536153.763,0.125,0.125,99.750,0,0
1602536154.763,5.614,0.187,94.198,0,0
1602536155.763,6.688,0.062,93.188,0.062,0
1602536156.763,6.442,0.063,93.496,0,0
1602536157.763,6.750,0.438,92.812,0,0
1602536158.763,6.324,0,93.676,0,0
1602536159.763,6.442,0.125,93.433,0,0
1602536160.763,6.254,0.250,93.496,0,0
1602536161.763,6.379,0.188,93.433,0,0
1602536162.763,6.320,0.063,93.617,0,0
1602536163.763,6.804,0,93.196,0,0
1602536164.763,6.312,0.188,93.500,0,0
1602536165.763,6.387,0.125,93.488,0,0
1602536166.763,6.011,0.313,93.676,0,0
1602536167.763,6.571,0.501,92.866,0.063,0
1602536168.763,6.328,0,93.672,0,0
1602536169.763,6.379,0.125,93.496,0,0
1602536170.763,6.379,0.063,93.558,0,0
1602536171.763,6.512,0,93.488,0,0
1602536172.763,6.254,0.125,93.621,0,0
1602536173.763,5.960,0.439,93.601,0,0
1602536174.763,6.324,0.125,93.550,0,0
1602536175.763,6.446,0.063,93.492,0,0
1602536176.763,6.328,0.063,93.609,0,0
1602536177.763,6.767,0.313,92.920,0,0
1602536178.763,6.320,0.125,93.554,0,0
1602536179.763,5.949,0.438,93.613,0,0
1602536180.763,6.246,0.250,93.504,0,0
1602536181.763,6.454,0.188,93.358,0,0
1602536182.763,6.254,0.125,93.621,0,0
1602536183.763,6.324,0.063,93.613,0,0
1602536184.763,6.320,0.125,93.554,0,0
1602536185.763,6.008,0.375,93.617,0,0
1602536186.763,4.756,1.690,93.554,0,0
1602536187.763,6.391,0.940,92.669,0,0
1602536188.763,5.569,0.876,93.554,0,0
1602536189.763,0.876,0.125,98.999,0,0
1602536190.763,3.066,1.314,95.557,0.063,0
1602536191.763,0.188,0.063,99.750,0,0
